code_zone_geo;zone_geographique;annee;code_indicateur;indicateur;code_type_pers;type_de_personnel;code_taille;taille_d_entreprise;secret;non_disponible;etat_des_donnees;valeur
100;France;2009;pers;Effectifs de R&D;2;Soutien à la recherche;4;Plus de 1000 salariés;non;non;définitif;46313.07
100;France;2010;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;13936.49
100;France;2010;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;9408.43
100;France;2011;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;76319.35
21;Champagne-Ardenne;2005;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;55.44
21;Champagne-Ardenne;2005;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;256.22
21;Champagne-Ardenne;2010;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;993.57
21;Champagne-Ardenne;2010;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;512.04
21;Champagne-Ardenne;2012;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;240.8
22;Picardie;2003;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;407.49
22;Picardie;2005;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;131.6
22;Picardie;2008;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;1297.02
22;Picardie;2009;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;373.57
21;Champagne-Ardenne;2004;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;736.3
21;Champagne-Ardenne;2008;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;2234.46
21;Champagne-Ardenne;2008;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;256.68
22;Picardie;2007;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;155.84
22;Picardie;2007;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;577.28
22;Picardie;2010;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;4196.11
22;Picardie;2011;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;456.65
23;Haute-Normandie;2007;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;309.14
07;Régions d'outre-mer;2002;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;153.64
07;Régions d'outre-mer;2004;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;5.5600000000000005
07;Régions d'outre-mer;2005;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;9.2
07;Régions d'outre-mer;2007;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;44.46
07;Régions d'outre-mer;2008;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;5.42
07;Régions d'outre-mer;2012;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;111.2
100;France;2004;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;2152.73
100;France;2004;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;14729.66
100;France;2006;pers;Effectifs de R&D;2;Soutien à la recherche;4;Plus de 1000 salariés;non;non;définitif;49379.01
100;France;2008;pers;Effectifs de R&D;0;Tous types de personnel;2;De 250 à 500 salariés;non;non;définitif;19858.48
100;France;2009;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;133701.15
100;France;2012;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;78960.86
100;France;2013;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;semi-définitif;89564.48
11;Île-de-France;2002;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;44592.81
11;Île-de-France;2003;dird;Dépense intérieure de R&D;;;2;De 250 à 500 salariés;non;non;définitif;621.2
11;Île-de-France;2005;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;30927.74
11;Île-de-France;2006;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;3170.76
11;Île-de-France;2008;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;5861.47
11;Île-de-France;2009;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;15042.46
11;Île-de-France;2010;pers;Effectifs de R&D;2;Soutien à la recherche;4;Plus de 1000 salariés;non;non;définitif;18199.14
11;Île-de-France;2011;pers;Effectifs de R&D;0;Tous types de personnel;4;Plus de 1000 salariés;non;non;définitif;56332.38
11;Île-de-France;2012;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;7084.56
11;Île-de-France;2012;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;5123.86
21;Champagne-Ardenne;2005;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;185.79
73;Midi-Pyrénées;2010;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;548.14
73;Midi-Pyrénées;2010;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;1099.33
73;Midi-Pyrénées;2011;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;2230.52
74;Limousin;2004;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;oui;non;définitif;
74;Limousin;2007;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;342.31
74;Limousin;2007;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;153.45
74;Limousin;2012;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;513.08
82;Rhône-Alpes;2002;dird;Dépense intérieure de R&D;;;0;Toutes tailles d'entreprise;non;non;définitif;2780.54
82;Rhône-Alpes;2003;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;11203.75
82;Rhône-Alpes;2004;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;216.56
82;Rhône-Alpes;2005;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;4195.85
82;Rhône-Alpes;2011;pers;Effectifs de R&D;2;Soutien à la recherche;4;Plus de 1000 salariés;non;non;définitif;5651.01
83;Auvergne;2003;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;oui;non;définitif;
23;Haute-Normandie;2009;dird;Dépense intérieure de R&D;;;3;De 500 à 1000 salariés;non;non;définitif;168.46
23;Haute-Normandie;2011;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;257.56
23;Haute-Normandie;2011;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;488.91
23;Haute-Normandie;2012;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;275.58
24;Centre;2004;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;390.36
24;Centre;2005;dird;Dépense intérieure de R&D;;;4;Plus de 1000 salariés;non;non;définitif;290.72
24;Centre;2006;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;387.91
24;Centre;2010;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;346.74
24;Centre;2010;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;3887.61
24;Centre;2012;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;définitif;405.2
24;Centre;2013;pers;Effectifs de R&D;2;Soutien à la recherche;3;De 500 à 1000 salariés;non;non;semi-définitif;421.82
25;Basse-Normandie;2001;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;955.92
25;Basse-Normandie;2003;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;2096.04
25;Basse-Normandie;2005;pers;Effectifs de R&D;1;Chercheurs;2;De 250 à 500 salariés;non;non;définitif;128.44
25;Basse-Normandie;2007;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes tailles d'entreprise;non;non;définitif;2572.1
25;Basse-Normandie;2007;pers;Effectifs de R&D;2;Soutien à la recherche;1;Moins de 250 salariés;non;non;définitif;247.84
25;Basse-Normandie;2008;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;54.83
25;Basse-Normandie;2009;dird;Dépense intérieure de R&D;;;1;Moins de 250 salariés;non;non;définitif;41.41
25;Basse-Normandie;2010;pers;Effectifs de R&D;2;Soutien à la recherche;2;De 250 à 500 salariés;non;non;définitif;258.07
25;Basse-Normandie;2011;pers;Effectifs de R&D;1;Chercheurs;4;Plus de 1000 salariés;non;non;définitif;484.65
25;Basse-Normandie;2012;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes tailles d'entreprise;non;non;définitif;1071.33
26;Bourgogne;2008;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;484.36
26;Bourgogne;2009;pers;Effectifs de R&D;0;Tous types de personnel;1;Moins de 250 salariés;non;non;définitif;1446.16
26;Bourgogne;2011;pers;Effectifs de R&D;1;Chercheurs;0;Toutes tailles d'entreprise;non;non;définitif;1278.22
26;Bourgogne;2011;pers;Effectifs de R&D;1;Chercheurs;1;Moins de 250 salariés;non;non;définitif;654.38
26;Bourgogne;2012;pers;Effectifs de R&D;0;Tous types de personnel;3;De 500 à 1000 salariés;non;non;définitif;236.92
26;Bourgogne;2012;pers;Effectifs de R&D;1;Chercheurs;3;De 500 à 1000 salariés;non;non;définitif;125.06
